"STOCK_ID","BUSINESS_DATE","OPENING_PRICE","CLOSING_PRICE"
16,2023-08-18 00:00:00.000,318,325
16,2023-08-19 00:00:00.000,325,312.5
16,2023-08-20 00:00:00.000,312.5,308
16,2023-08-21 00:00:00.000,308,315
17,2023-08-12 00:00:00.000,50,52
17,2023-08-13 00:00:00.000,52,49.5
17,2023-08-14 00:00:00.000,49.5,54
17,2023-08-15 00:00:00.000,54,46
17,2023-08-16 00:00:00.000,46,42.5
17,2023-08-17 00:00:00.000,42.5,48
17,2023-08-18 00:00:00.000,48,50.5
17,2023-08-19 00:00:00.000,50.5,45
17,2023-08-20 00:00:00.000,45,43.5
17,2023-08-21 00:00:00.000,43.5,49
18,2023-08-12 00:00:00.000,80,82
18,2023-08-13 00:00:00.000,82,79.5
18,2023-08-14 00:00:00.000,79.5,84
18,2023-08-15 00:00:00.000,84,76
18,2023-08-16 00:00:00.000,76,72.5
18,2023-08-17 00:00:00.000,72.5,78
18,2023-08-18 00:00:00.000,78,70
18,2023-08-19 00:00:00.000,70,65
18,2023-08-20 00:00:00.000,65,63.5
18,2023-08-21 00:00:00.000,63.5,59
19,2023-08-12 00:00:00.000,120,124
19,2023-08-13 00:00:00.000,124,119
19,2023-08-14 00:00:00.000,119,130
19,2023-08-15 00:00:00.000,130,112
19,2023-08-16 00:00:00.000,112,108
19,2023-08-17 00:00:00.000,108,116
19,2023-08-18 00:00:00.000,116,105
19,2023-08-19 00:00:00.000,105,99
19,2023-08-20 00:00:00.000,99,97
19,2023-08-21 00:00:00.000,97,92
20,2023-08-12 00:00:00.000,150,156
20,2023-08-13 00:00:00.000,156,149
20,2023-08-14 00:00:00.000,149,164
20,2023-08-15 00:00:00.000,164,138
20,2023-08-16 00:00:00.000,138,132
20,2023-08-17 00:00:00.000,132,144
20,2023-08-18 00:00:00.000,144,126
20,2023-08-19 00:00:00.000,126,120
20,2023-08-20 00:00:00.000,120,118
20,2023-08-21 00:00:00.000,118,112
